size,iterations
10,39
11,55
12,56
13,78
14,91
15,102
16,114
17,137
18,132
19,165
20,154
21,189
22,221
23,243
24,261
25,279
26,304
27,341
28,357
29,403
30,399
31,462
32,451
33,507
34,506
35,585
36,620
37,656
38,675
39,705
40,759
41,792
42,833
43,904
44,925
45,987
46,1007
47,1060
48,1107
49,1166
50,1225
51,1239
52,1323
53,1225
54,1410
55,1457
56,1404
57,1530
58,1632
59,1666
60,1715
61,1820
62,1870
63,1932
64,1995
65,2035
66,2139
67,2196
68,2272
69,2325
70,2387
71,2464
72,2520
73,2523
74,2646
75,2739
76,2822
77,2890
78,2988
79,3060
80,3094
81,3185
82,3131
83,3397
84,3441
85,3549
86,3640
87,3675
88,3800
89,3811
90,3950
91,4094
92,4131
93,4233
94,4350
95,4345
96,4469
97,4641
98,4732
99,4845
100,4872
101,4930
102,5148
103,5175
104,5185
105,5439
106,5334
107,5626
108,5733
109,5865
110,5929
111,6077
112,6161
113,6223
114,6435
115,6545
116,6604
117,6720
118,6888
119,7018
120,7062
121,7250
122,7191
123,7412
124,7625
125,7659
126,7854
127,7910
128,8083
129,8178
130,8280
131,8479
132,8526
133,8742
134,8856
135,8925
136,9177
137,9211
138,9387
139,9471
140,9720
141,9765
142,10001
143,9853
144,10065
145,10440
146,10089
147,10676
148,10758
149,10935
150,11004
151,11289
152,11475
153,11618
154,11591
155,11899
156,12054
157,12168
158,12367
159,12408
160,12615
161,12825
162,12936
163,13167
164,13135
165,13439
166,13680
167,13725
168,13908
169,14130
170,14260
171,14304
172,14453
173,14668
174,15045
175,15197
176,15247
177,15561
178,15582
179,15910
180,16065
181,16245
182,16366
183,16625
184,16560
185,16954
186,17150
187,17300
188,17473
189,17756
190,17802
191,17479
192,18105
193,18513
194,18718
195,18887
196,19074
197,18981
198,18422
199,19646
200,19159
201,19890
202,20223
203,20227
204,20685
205,20790
206,20520
207,21216
208,21375
209,21670
210,21900
211,22134
212,22330
213,22172
214,22671
215,22729
216,23142
