size,iterations
10,54
11,80
12,88
13,84
14,156
15,154
16,150
17,176
18,289
19,216
20,247
21,300
22,462
23,352
24,529
25,528
26,575
27,416
28,567
29,644
30,725
31,570
32,744
33,704
34,990
35,952
36,1015
37,1080
38,1073
39,1292
40,1053
41,1400
42,1353
43,1554
44,1763
45,1540
46,1935
47,1978
48,2021
49,1968
50,2205
51,1650
52,2244
53,2704
54,2650
55,2700
56,2200
57,2688
58,2052
59,2958
60,2891
61,2880
62,3355
63,3658
64,3843
65,3200
66,3575
67,4290
68,3752
69,3604
70,3864
71,3430
72,4544
73,5112
74,4672
75,3848
76,5550
77,5396
78,5852
79,5226
80,4977
81,5520
82,6318
83,6232
84,5893
85,5964
86,6375
87,6966
88,6699
89,5896
90,7654
91,7830
92,6552
93,7544
94,7626
95,8084
96,8265
97,7968
98,7566
99,8428
100,9306
101,8700
102,9191
103,9384
104,10197
105,10400
106,10290
107,9540
108,10914
109,10800
110,10137
111,9570
112,10989
113,10304
114,11526
115,12540
116,11730
117,12412
118,12519
119,12744
120,13447
121,13200
122,13189
123,13420
124,13161
125,14136
126,15250
127,15498
128,14224
129,15872
130,14835
131,15860
132,16768
133,16632
134,16226
135,17688
136,17415
137,17544
138,15892
139,17250
140,18765
141,18760
142,17625
143,19454
144,20306
145,19728
146,20155
147,19856
148,19551
149,21312
150,21456
151,21300
152,20989
153,22344
154,22032
155,23716
156,22475
157,22932
158,20567
159,23858
160,20829
161,25120
162,21735
163,22356
164,23961
165,26240
166,26730
167,26062
168,25885
169,25536
170,26026
171,27200
172,29070
173,28896
174,26988
175,29580
176,27650
177,30272
178,28320
179,30082
180,31683
181,32040
182,30046
183,27846
184,31110
185,32568
186,32930
187,28644
188,32725
189,30080
190,32697
191,33250
192,34571
193,34368
194,33003
195,35502
196,36855
197,32340
198,37627
199,37818
200,32636
201,39600
202,40401
203,37976
204,39585
205,38964
206,38130
207,38728
208,39951
209,40352
210,37829
211,40530
212,41778
213,44732
214,41322
215,38734
216,44935
217,44928
218,46655
219,46434
220,42048
221,43340
222,45084
223,41958
224,46830
225,47712
226,44550
227,46782
228,45854
229,49704
230,47632
231,47840
232,48048
233,53128
234,44969
235,53118
236,50290
237,54752
238,55221
239,52122
240,53297
241,51600
242,53261
243,53482
244,53460
245,58072
246,59780
247,58302
248,55822
249,57536
250,56523
251,58750
252,57479
253,59472
254,57684
255,60452
256,60690
257,62208
258,61680
259,65274
260,62419
261,57460
262,65511
263,60260
264,65750
265,63888
266,67310
267,65436
268,64614
269,66196
270,67788
271,70200
272,72899
273,66096
274,70434
275,71788
276,72875
277,69552
278,75898
279,71168
280,67239
281,71960
282,71093
283,69090
284,75561
285,74408
286,78660
287,76076
288,72037
289,80352
290,73984
291,79460
292,76824
293,82052
294,81454
295,79674
296,84370
297,80216
298,76329
299,86122
300,83720
301,84300
302,85484
303,87882
304,89082
305,86336
306,89060
307,88434
308,90872
309,88704
310,87447
311,91760
312,91745
313,87360
314,90144
315,94514
316,92295
317,92904
318,90345
319,96990
320,96657
321,95680
322,87633
323,98532
324,95608
325,95904
326,103675
327,98778
328,102678
329,106600
330,102977
331,102630
332,100955
333,101260
334,94239
335,106546
336,103180
337,107520
338,108177
339,102414
340,105429
341,113900
342,108779
343,104310
344,111132
345,111456
346,112815
347,117986
348,113816
349,115536
350,108888
351,115850
352,121095
353,107360
354,115784
355,115758
356,118925
357,119972
358,112455
359,123152
360,117752
361,122400
362,127433
363,127424
364,123420
365,119392
366,125925
367,127368
368,125147
369,118864
370,135792
371,131350
372,130592
373,132060
374,127566
375,130526
376,132000
377,132728
378,127803
379,139104
380,130376
381,134900
382,129921
383,143632
384,138263
385,140928
386,130130
387,131626
388,138159
389,128040
390,145875
391,138450
392,146625
393,150528
394,145803
395,147356
396,148125
397,150084
398,147287
399,152434
400,159600
401,146400
402,151979
403,161202
404,151125
405,151500
406,154710
407,157122
408,161172
409,159936
410,152148
411,165640
412,161523
413,169744
414,154875
415,170982
416,164340
417,151008
418,164298
419,165946
420,170952
421,168840
422,170505
423,162470
424,166239
425,163664
426,176800
427,175512
428,165676
429,167776
430,178893
431,172430
432,165504
433,174960
434,177097
435,183148
436,178785
437,181376
438,183977
439,180894
440,190087
441,192720
442,186102
443,175916
444,182516
445,186480
446,189125
447,195348
448,191316
449,190848
450,194866
451,197550
452,185812
453,199332
454,203850
455,197036
456,198835
457,203832
458,192854
459,206100
460,210681
461,206080
462,207450
463,200046
464,204183
465,206016
